"player_name_pfr","college_combine","Ht","Wt","X40yd","Vertical","Bench","Broad_Jump","X3Cone","Shuttle","pos_combine","combine_yr","Pick","Career_AV_New","draft_dummy"
"Jordan Lasley","UCLA",73,203,4.5,34.5,8,112,NA,4.19,"WR",2018,162,0,1
"Jordan Mailata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,233,6,1
"Jordan Whitehead","Pittsburgh",71,195,NA,NA,21,NA,NA,NA,"S",2018,117,14,1
"Jordan Wilkins","Mississippi",73,216,NA,36,16,117,NA,4.27,"RB",2018,169,9,1
"Joseph Davidson","Bowling Green",79,232,NA,NA,NA,NA,NA,NA,"P",2018,300,0,0
"Josey Jewell","Iowa",73,234,4.82,33,18,117,6.8,4.27,"ILB",2018,106,16,1
"Josh Adams","Notre Dame",74,213,NA,NA,18,NA,NA,NA,"RB",2018,300,0,0
"Josh Allen","Wyoming",77,237,4.75,33.5,NA,119,6.9,4.4,"QB",2018,7,36,1
"Josh Jackson","Iowa",73,192,4.56,38,18,123,6.86,4.03,"CB",2018,45,8,1
"Josh Rosen","UCLA",76,226,4.92,31,NA,111,7.09,4.28,"QB",2018,10,4,1
"Josh Sweat","Florida State",76,251,4.53,39.5,NA,124,NA,4.28,"EDGE",2018,130,7,1
"Joshua Frazier","Alabama",76,321,NA,NA,21,NA,NA,NA,"DT",2018,246,0,1
"Joshua Kalu","Nebraska",73,195,4.58,41.5,17,134,NA,NA,"S",2018,300,0,0
"Jullian Taylor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,223,2,1
"Justin Crawford","West Virginia",71,199,4.64,33.5,11,122,NA,NA,"RB",2018,300,0,0
"Justin Jackson","Northwestern",72,199,4.52,38.5,13,122,6.81,4.07,"RB",2018,251,8,1
"Justin Jones","North Carolina State",74,309,5.09,29,24,104,7.82,4.74,"DT",2018,84,13,1
"Justin Lawler",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,244,2,1
"Justin Reid","Stanford",73,204,4.4,36.5,16,128,6.65,4.15,"S",2018,68,15,1
"Justin Watson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,144,3,1
"K.J. Malone","LSU",76,303,5.34,29.5,15,103,NA,NA,"OG",2018,300,0,0
"Kc McDermott","Miami (FL)",78,311,5.35,23.5,26,97,7.72,4.82,"OG",2018,300,0,0
"Kahlil McKenzie","Tennessee",77,314,5.15,29.5,26,105,7.94,4.68,"DT",2018,198,2,1
"Kalen Ballage","Arizona State",73,228,4.46,33.5,15,122,6.91,4.35,"RB",2018,131,6,1
"Kameron Kelly","San Diego State",74,200,4.66,33,9,120,6.94,4.28,"S",2018,300,0,0
"Kamrin Moore","Boston Col.",71,200,NA,NA,NA,NA,NA,NA,"CB",2018,189,1,1
"Kamryn Pettway","Auburn",72,233,4.74,33.5,22,116,NA,NA,"RB",2018,300,0,0
"Keion Crossen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,243,5,1
